filepath,label,class_name,filename
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_12_1_2022033007.npy_58.png,0,class 1,BR_13_14_12_1_2022033007.npy_58.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_51.png,1,class 2,BR_13_14_36_2_2021123008.npy_51.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_13_1_2022033008.npy_92.png,0,class 1,BR_13_14_13_1_2022033008.npy_92.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_79_4_2021121709.npy_24.png,2,class 3,BR_13_14_79_4_2021121709.npy_24.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_57.png,1,class 2,BR_13_14_35_2_2021123007.npy_57.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_87.png,1,class 2,BR_13_14_36_2_2021123008.npy_87.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_16_1_2022033108.npy_103.png,0,class 1,BR_13_14_16_1_2022033108.npy_103.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_53.png,2,class 3,BR_13_14_77_4_2021121608.npy_53.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_16_1_2022033108.npy_73.png,0,class 1,BR_13_14_16_1_2022033108.npy_73.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_37.png,1,class 2,BR_13_14_36_2_2021123008.npy_37.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_70.png,1,class 2,BR_13_14_36_2_2021123008.npy_70.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_94.png,1,class 2,BR_13_14_36_2_2021123008.npy_94.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_02_1_2022011008.npy_92.png,0,class 1,BR_13_14_02_1_2022011008.npy_92.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_135.png,1,class 2,BR_13_14_35_2_2021123007.npy_135.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_55.png,1,class 2,BR_13_14_35_2_2021123007.npy_55.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_11_1_2022032909.npy_118.png,0,class 1,BR_13_14_11_1_2022032909.npy_118.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_120.png,2,class 3,BR_13_14_78_4_2021121708.npy_120.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_133.png,2,class 3,BR_13_14_77_4_2021121608.npy_133.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_68.png,1,class 2,BR_13_14_33_2_2021122908.npy_68.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_36.png,1,class 2,BR_13_14_36_2_2021123008.npy_36.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_06_1_2022011208.npy_82.png,0,class 1,BR_13_14_06_1_2022011208.npy_82.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_18.png,1,class 2,BR_13_14_33_2_2021122908.npy_18.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_18.png,1,class 2,BR_13_14_35_2_2021123007.npy_18.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_05_1_2022011207.npy_131.png,0,class 1,BR_13_14_05_1_2022011207.npy_131.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_14_1_2022033106.npy_120.png,0,class 1,BR_13_14_14_1_2022033106.npy_120.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_27.png,1,class 2,BR_13_14_33_2_2021122908.npy_27.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_22_1_2022040209.npy_167.png,0,class 1,BR_13_14_22_1_2022040209.npy_167.png
